,client_id,age,job,marital,education,credit_default,mortgage
55,55,55,technician,married,professional_course,False,True
56,56,50,management,married,university_degree,False,False
57,57,45,services,married,high_school,False,True
58,58,55,unemployed,married,professional_course,False,True
59,59,25,technician,single,university_degree,False,True
60,60,47,entrepreneur,married,university_degree,False,False
61,61,51,blue-collar,married,basic_9y,False,True
62,62,42,blue-collar,married,basic_6y,False,True
63,63,42,blue-collar,married,basic_6y,False,False
64,64,48,admin_,married,high_school,False,False
65,65,37,admin_,married,university_degree,False,False
66,66,44,blue-collar,single,basic_9y,False,True
67,67,33,admin_,married,unknown,False,True
68,68,56,admin_,married,basic_9y,False,True
69,69,44,blue-collar,single,basic_4y,False,True
70,70,41,management,married,basic_6y,False,False
71,71,44,management,divorced,university_degree,False,True
72,72,47,admin_,married,university_degree,False,True
73,73,57,unknown,married,unknown,False,False
74,74,37,admin_,married,university_degree,False,True
75,75,41,blue-collar,divorced,basic_4y,False,True
76,76,55,technician,married,university_degree,False,False
77,77,33,services,married,high_school,False,True
78,78,55,management,married,unknown,False,True
79,79,42,blue-collar,married,basic_9y,False,False
80,80,50,blue-collar,married,basic_4y,False,True
81,81,51,blue-collar,married,basic_4y,False,False
82,82,38,admin_,married,high_school,False,False
83,83,49,entrepreneur,married,university_degree,False,True
84,84,38,technician,single,university_degree,False,False
85,85,31,admin_,divorced,high_school,False,False
86,86,41,management,married,basic_6y,False,False
87,87,39,admin_,married,university_degree,False,True
88,88,49,technician,married,basic_9y,False,False
89,89,34,admin_,married,high_school,False,True
90,90,35,admin_,married,university_degree,False,True
91,91,57,unknown,married,unknown,False,True
92,92,60,admin_,married,unknown,False,False
93,93,33,unemployed,married,basic_9y,False,False
94,94,42,blue-collar,married,basic_6y,False,False
95,95,45,services,married,professional_course,False,True
96,96,42,management,married,university_degree,False,False
97,97,53,admin_,divorced,university_degree,False,False
98,98,37,technician,single,professional_course,False,False
99,99,44,blue-collar,married,basic_6y,False,False
100,100,54,services,married,unknown,False,True
101,101,49,blue-collar,married,basic_4y,False,False
102,102,54,services,married,unknown,False,False
103,103,52,admin_,divorced,university_degree,False,False
104,104,52,admin_,divorced,university_degree,False,False
105,105,43,services,single,high_school,False,False
106,106,34,housemaid,married,basic_6y,False,True
107,107,35,admin_,married,high_school,False,True
108,108,42,entrepreneur,married,unknown,False,True
109,109,43,technician,married,unknown,False,True
110,110,60,retired,divorced,university_degree,False,False
111,111,58,unemployed,married,basic_4y,False,False
112,112,35,services,divorced,high_school,False,True
113,113,55,blue-collar,married,basic_9y,False,True
114,114,37,management,married,university_degree,False,False
115,115,36,blue-collar,married,high_school,False,False
116,116,52,admin_,divorced,university_degree,False,False
117,117,57,blue-collar,divorced,unknown,False,True
118,118,56,admin_,married,unknown,False,True
119,119,48,blue-collar,divorced,basic_4y,False,True
120,120,40,blue-collar,married,high_school,False,True
121,121,49,blue-collar,divorced,high_school,False,False
122,122,41,services,married,high_school,False,False
123,123,45,technician,married,high_school,False,True
124,124,32,admin_,married,university_degree,False,True
125,125,42,admin_,married,university_degree,False,False
126,126,50,admin_,married,basic_6y,False,False
127,127,31,technician,divorced,professional_course,False,True
128,128,56,retired,married,basic_4y,False,True
129,129,41,technician,married,professional_course,False,True
130,130,37,blue-collar,married,basic_6y,False,True
131,131,41,technician,married,professional_course,False,False
132,132,35,blue-collar,married,unknown,False,True
133,133,37,blue-collar,married,basic_6y,False,True
134,134,52,management,married,university_degree,False,False
135,135,39,management,divorced,university_degree,False,False
136,136,39,housemaid,married,basic_4y,False,False
137,137,56,blue-collar,married,basic_4y,False,False
138,138,34,services,married,high_school,False,True
139,139,45,blue-collar,married,basic_9y,False,True
140,140,43,unemployed,single,university_degree,False,True
141,141,56,management,married,unknown,False,True
142,142,39,management,married,university_degree,False,True
143,143,53,blue-collar,married,basic_4y,False,True
144,144,38,unknown,divorced,high_school,False,True
145,145,42,blue-collar,married,basic_4y,False,True
146,146,42,blue-collar,married,basic_4y,False,False
147,147,35,admin_,single,high_school,False,True
148,148,40,admin_,married,university_degree,False,True
149,149,51,blue-collar,married,basic_4y,False,True
150,150,60,blue-collar,married,basic_9y,False,False
151,151,56,entrepreneur,married,unknown,False,True
152,152,39,services,divorced,high_school,False,True
153,153,56,entrepreneur,married,unknown,False,False
154,154,40,blue-collar,married,unknown,False,True
155,155,36,blue-collar,married,basic_9y,False,True
156,156,51,blue-collar,married,unknown,False,True
157,157,51,blue-collar,married,unknown,False,False
158,158,43,technician,single,professional_course,False,True
159,159,59,services,married,high_school,False,False
160,160,24,management,single,university_degree,False,True
161,161,37,blue-collar,single,basic_9y,False,True
162,162,40,blue-collar,married,basic_9y,False,False
163,163,42,blue-collar,married,basic_9y,False,False
164,164,39,services,divorced,high_school,False,False
165,165,37,entrepreneur,married,basic_6y,False,False
166,166,38,services,married,high_school,False,True
167,167,56,admin_,divorced,unknown,False,False
168,168,40,blue-collar,married,unknown,False,False
169,169,54,management,divorced,university_degree,False,True
170,170,43,blue-collar,married,high_school,False,False
171,171,36,services,married,high_school,False,False
172,172,45,technician,married,university_degree,False,True
173,173,42,admin_,single,university_degree,False,False
174,174,43,services,married,high_school,False,False
175,175,46,management,married,basic_9y,False,False
176,176,44,services,married,high_school,False,True
177,177,51,admin_,single,basic_6y,False,False
178,178,28,services,married,high_school,False,True
179,179,37,blue-collar,married,basic_9y,False,False
180,180,34,technician,married,high_school,False,False
181,181,46,blue-collar,married,basic_6y,False,True
182,182,42,blue-collar,married,basic_9y,False,True
183,183,36,admin_,married,university_degree,False,True
184,184,54,blue-collar,married,basic_4y,False,False
185,185,57,management,married,university_degree,False,False
186,186,51,technician,married,basic_6y,False,False
187,187,54,retired,married,high_school,False,False
188,188,49,blue-collar,married,basic_4y,False,False
189,189,34,admin_,married,university_degree,False,True
190,190,41,technician,married,professional_course,False,False
191,191,38,blue-collar,single,basic_9y,False,True
192,192,45,management,divorced,university_degree,False,False
193,193,42,technician,married,university_degree,False,False
194,194,34,blue-collar,single,basic_9y,False,True
195,195,48,blue-collar,married,basic_4y,False,True
196,196,37,admin_,married,high_school,False,True
197,197,34,blue-collar,single,basic_9y,False,False
198,198,40,admin_,married,basic_9y,False,True
199,199,43,blue-collar,married,basic_6y,False,True
200,200,33,services,married,high_school,False,False
201,201,32,services,single,basic_6y,False,False
202,202,39,blue-collar,married,high_school,False,True
203,203,43,admin_,married,unknown,False,False
204,204,44,blue-collar,married,basic_9y,False,True
205,205,35,student,single,university_degree,False,False
206,206,35,student,single,university_degree,False,True
207,207,35,unemployed,married,professional_course,False,False
208,208,36,services,single,basic_4y,False,False
209,209,35,student,single,university_degree,False,True
210,210,36,student,single,basic_9y,False,True
211,211,55,housemaid,divorced,university_degree,False,False
212,212,59,admin_,married,university_degree,False,False
213,213,57,retired,married,unknown,False,False
214,214,39,blue-collar,married,professional_course,False,True
215,215,39,housemaid,married,basic_4y,False,True
216,216,30,blue-collar,single,unknown,False,True
217,217,30,blue-collar,single,unknown,False,True
218,218,50,housemaid,married,basic_4y,False,False
219,219,40,services,married,high_school,False,False
220,220,35,admin_,married,high_school,False,True
221,221,43,technician,married,unknown,False,False
222,222,36,services,single,basic_6y,False,True
223,223,46,technician,married,basic_4y,False,True
224,224,40,technician,married,basic_9y,False,False
225,225,58,retired,married,university_degree,False,False
226,226,42,technician,married,university_degree,False,False
227,227,35,admin_,single,university_degree,False,False
228,228,43,retired,married,basic_4y,False,False
229,229,45,blue-collar,married,basic_4y,False,True
230,230,39,admin_,married,professional_course,False,True
231,231,50,services,divorced,professional_course,False,True
232,232,32,management,divorced,basic_4y,False,True
233,233,39,admin_,married,high_school,False,False
234,234,52,self-employed,married,university_degree,False,False
235,235,44,admin_,married,professional_course,False,True
236,236,56,blue-collar,married,basic_4y,False,False
237,237,48,admin_,married,high_school,False,False
238,238,33,services,married,high_school,False,False
239,239,43,management,married,university_degree,False,False
240,240,57,retired,married,high_school,False,False
241,241,36,technician,single,professional_course,False,False
242,242,34,management,married,university_degree,False,True
243,243,34,services,single,basic_9y,False,False
244,244,30,technician,married,university_degree,False,False
245,245,33,services,divorced,unknown,False,False
246,246,32,technician,single,professional_course,False,False
247,247,36,technician,single,high_school,False,True
248,248,36,blue-collar,single,high_school,False,False
249,249,33,services,single,high_school,False,False
250,250,40,technician,divorced,professional_course,False,False
251,251,41,blue-collar,married,basic_4y,False,True
252,252,51,services,married,basic_6y,False,True
253,253,36,technician,married,professional_course,False,True
254,254,28,services,married,unknown,False,False
255,255,53,services,married,high_school,False,True
256,256,58,blue-collar,married,basic_9y,False,True
257,257,45,management,married,basic_9y,False,False
258,258,43,technician,married,unknown,False,True
259,259,33,admin_,married,high_school,False,False
260,260,33,admin_,married,high_school,False,False
261,261,27,blue-collar,single,basic_6y,False,False
262,262,42,technician,married,high_school,False,False
263,263,43,admin_,divorced,basic_9y,False,False
264,264,42,admin_,married,university_degree,False,False
265,265,27,blue-collar,single,basic_6y,False,False
266,266,34,self-employed,single,university_degree,False,True
267,267,31,student,single,university_degree,False,False
268,268,54,management,divorced,university_degree,False,False
269,269,40,self-employed,married,basic_4y,False,False
270,270,52,unemployed,married,high_school,False,True
271,271,47,management,divorced,university_degree,False,False
272,272,49,housemaid,married,basic_9y,False,False
273,273,32,admin_,single,high_school,False,False
274,274,49,housemaid,single,high_school,False,True
275,275,50,blue-collar,married,basic_9y,False,False
276,276,34,services,married,high_school,False,False
277,277,55,blue-collar,married,basic_4y,False,False
278,278,47,technician,single,basic_9y,False,False
279,279,51,retired,married,professional_course,False,False
280,280,47,blue-collar,married,basic_6y,False,False
281,281,56,technician,married,basic_4y,False,True
282,282,53,admin_,married,basic_9y,False,False
283,283,36,blue-collar,married,basic_9y,False,True
284,284,42,blue-collar,divorced,basic_9y,False,True
285,285,44,blue-collar,divorced,basic_6y,False,False
286,286,39,housemaid,married,basic_9y,False,True
287,287,37,admin_,single,high_school,False,True
288,288,60,blue-collar,married,unknown,False,True
289,289,36,services,married,high_school,False,False
290,290,42,management,divorced,university_degree,False,True
291,291,31,admin_,married,high_school,False,True
292,292,53,technician,divorced,professional_course,False,False
293,293,45,blue-collar,married,basic_4y,False,True
294,294,37,technician,single,professional_course,False,True
295,295,47,self-employed,married,professional_course,False,False
296,296,49,blue-collar,divorced,high_school,False,False
297,297,36,admin_,married,university_degree,False,True
298,298,35,services,divorced,high_school,False,False
299,299,38,unknown,married,unknown,False,False
300,300,38,services,single,high_school,False,False
301,301,50,blue-collar,divorced,high_school,False,False
302,302,59,retired,married,professional_course,False,False
303,303,43,unknown,married,unknown,False,True
304,304,42,admin_,married,high_school,False,True
305,305,40,admin_,married,basic_6y,False,True
306,306,46,blue-collar,married,unknown,False,False
307,307,57,housemaid,divorced,basic_4y,False,True
308,308,42,admin_,married,university_degree,False,True
309,309,41,blue-collar,married,basic_4y,False,True
310,310,54,management,divorced,university_degree,False,True
311,311,27,admin_,single,university_degree,False,False
312,312,36,admin_,married,high_school,False,False
313,313,58,blue-collar,married,professional_course,False,True
314,314,40,management,married,university_degree,False,True
315,315,34,admin_,single,basic_9y,False,False
316,316,33,admin_,divorced,high_school,False,False
317,317,56,retired,married,basic_6y,False,False
318,318,42,blue-collar,married,basic_9y,False,False
319,319,43,services,married,high_school,False,True
320,320,54,management,single,basic_9y,False,True
321,321,53,admin_,single,basic_6y,False,True
322,322,42,technician,single,unknown,False,False
323,323,40,services,married,basic_6y,False,False
324,324,54,technician,married,professional_course,False,True
325,325,40,housemaid,single,professional_course,False,False
326,326,26,admin_,single,university_degree,False,True
327,327,33,admin_,married,high_school,False,False
328,328,35,blue-collar,married,basic_9y,False,False
329,329,36,admin_,married,high_school,False,False
330,330,29,services,single,high_school,False,True
331,331,36,blue-collar,married,basic_9y,False,True
332,332,35,management,married,high_school,False,True
333,333,50,self-employed,single,university_degree,False,False
334,334,46,services,married,high_school,False,True
335,335,49,entrepreneur,married,high_school,False,True
336,336,42,technician,single,professional_course,False,True
337,337,36,blue-collar,single,high_school,False,True
338,338,55,blue-collar,married,basic_9y,False,True
339,339,41,management,married,university_degree,False,False
340,340,57,management,married,professional_course,False,True
341,341,32,services,single,high_school,False,True
342,342,49,admin_,married,basic_9y,False,False
343,343,57,unknown,married,unknown,False,True
344,344,58,blue-collar,divorced,basic_4y,False,True
345,345,52,technician,married,high_school,False,True
346,346,50,services,divorced,professional_course,False,False
347,347,41,blue-collar,single,basic_9y,False,True
348,348,33,entrepreneur,married,university_degree,False,True
349,349,57,blue-collar,married,basic_4y,False,False
350,350,48,blue-collar,married,basic_6y,False,False
351,351,55,technician,married,professional_course,False,False
352,352,38,management,married,university_degree,False,False
353,353,38,services,married,high_school,False,True
354,354,53,admin_,married,university_degree,False,True
355,355,43,unemployed,single,university_degree,False,False
356,356,36,blue-collar,single,high_school,False,False
357,357,32,blue-collar,married,basic_9y,False,False
358,358,33,services,married,basic_4y,False,False
359,359,58,entrepreneur,married,basic_4y,False,True
360,360,40,unemployed,divorced,high_school,False,False
361,361,57,management,married,university_degree,False,True
362,362,45,technician,married,high_school,False,True
363,363,42,blue-collar,married,basic_4y,False,True
364,364,46,admin_,married,university_degree,False,True
365,365,36,technician,married,university_degree,False,False
366,366,41,self-employed,married,high_school,False,True
367,367,57,admin_,divorced,basic_9y,False,False
368,368,49,blue-collar,married,basic_9y,False,True
369,369,56,management,divorced,high_school,False,False
370,370,37,blue-collar,married,basic_9y,False,False
371,371,37,blue-collar,married,basic_9y,False,False
372,372,46,admin_,single,high_school,False,True
373,373,22,blue-collar,single,basic_9y,False,True
374,374,43,services,married,high_school,False,False
375,375,49,blue-collar,married,unknown,False,False
376,376,41,technician,married,basic_6y,False,True
377,377,38,admin_,single,university_degree,False,False
378,378,33,admin_,married,basic_9y,False,False
379,379,49,admin_,married,university_degree,False,True
380,380,30,blue-collar,single,unknown,False,False
381,381,33,admin_,married,basic_9y,False,True
382,382,34,management,single,university_degree,False,False
383,383,30,student,single,unknown,False,False
384,384,59,management,married,basic_4y,False,True
385,385,59,management,married,basic_4y,False,False
386,386,41,self-employed,married,university_degree,False,False
387,387,48,housemaid,married,basic_6y,False,True
388,388,28,unknown,single,unknown,False,True
389,389,44,services,married,high_school,False,True
390,390,59,retired,unknown,university_degree,False,False
391,391,50,management,married,high_school,False,False
392,392,35,admin_,married,university_degree,False,False
393,393,42,admin_,married,high_school,False,False
394,394,45,admin_,married,basic_9y,False,False
395,395,36,technician,married,professional_course,False,False
396,396,56,services,married,high_school,False,False
397,397,29,blue-collar,divorced,basic_4y,False,False
398,398,41,self-employed,married,university_degree,False,True
399,399,42,blue-collar,married,basic_9y,False,False
400,400,52,services,single,high_school,False,False
401,401,48,services,married,high_school,False,False
402,402,31,blue-collar,married,high_school,False,True
403,403,43,unemployed,married,university_degree,False,True
404,404,36,blue-collar,married,basic_4y,False,False
405,405,42,entrepreneur,married,university_degree,False,True
406,406,52,services,divorced,basic_6y,False,False
407,407,39,admin_,married,high_school,False,True
408,408,36,services,married,high_school,False,False
409,409,42,blue-collar,married,basic_9y,False,True
410,410,41,admin_,married,high_school,False,False
411,411,55,technician,married,basic_4y,False,False
412,412,30,blue-collar,married,basic_9y,False,False
413,413,57,retired,unknown,basic_4y,False,False
414,414,45,entrepreneur,married,basic_4y,False,True
415,415,51,blue-collar,married,basic_4y,False,True
416,416,39,self-employed,single,basic_9y,False,True
417,417,47,admin_,married,high_school,False,False
418,418,27,services,married,high_school,False,True
419,419,34,technician,single,university_degree,False,True
420,420,57,blue-collar,married,basic_4y,False,True
421,421,43,entrepreneur,married,basic_4y,False,False
422,422,49,blue-collar,married,basic_4y,False,False
423,423,39,management,married,university_degree,False,False
424,424,38,blue-collar,married,basic_4y,False,True
425,425,49,blue-collar,married,basic_9y,False,False
426,426,58,management,married,basic_6y,False,False
427,427,43,technician,married,professional_course,False,True
428,428,50,unknown,married,unknown,False,True
429,429,31,services,married,high_school,False,False
430,430,43,self-employed,divorced,university_degree,False,False
431,431,43,self-employed,married,basic_9y,False,False
432,432,30,self-employed,single,university_degree,False,True
433,433,27,services,single,professional_course,False,True
434,434,51,services,married,unknown,False,False
435,435,37,technician,married,professional_course,False,True
436,436,46,housemaid,married,basic_9y,False,True
437,437,35,blue-collar,married,professional_course,False,False
438,438,47,admin_,divorced,university_degree,False,False
439,439,46,management,married,unknown,False,True
440,440,40,technician,married,professional_course,False,False
441,441,26,housemaid,married,university_degree,False,False
442,442,32,blue-collar,divorced,basic_9y,False,False
443,443,45,management,married,university_degree,False,True
444,444,34,admin_,married,basic_9y,False,False
445,445,47,blue-collar,married,unknown,False,False
446,446,42,technician,married,professional_course,False,False
447,447,57,technician,married,basic_4y,False,False
448,448,57,technician,married,basic_4y,False,False
449,449,38,blue-collar,married,basic_4y,False,False
450,450,57,technician,married,basic_4y,False,False
451,451,28,student,single,basic_9y,False,True
452,452,60,management,married,university_degree,False,False
453,453,48,admin_,married,university_degree,False,True
454,454,47,technician,married,professional_course,False,True
455,455,40,admin_,married,high_school,False,False
456,456,51,management,married,professional_course,False,True
457,457,48,unemployed,single,basic_4y,False,True
458,458,54,housemaid,married,basic_4y,False,False
459,459,40,blue-collar,married,basic_6y,False,False
460,460,44,admin_,single,basic_9y,False,False
461,461,42,technician,divorced,high_school,False,False
462,462,52,self-employed,married,university_degree,False,True
463,463,31,blue-collar,single,basic_9y,False,True
464,464,32,services,married,high_school,False,False
465,465,44,admin_,married,high_school,False,True
466,466,39,management,married,basic_6y,False,False
467,467,57,management,married,professional_course,False,True
468,468,52,admin_,married,basic_4y,False,True
469,469,42,management,married,university_degree,False,False
470,470,42,technician,single,professional_course,False,False
471,471,43,management,married,professional_course,False,True
472,472,31,admin_,divorced,high_school,False,False
473,473,29,admin_,married,university_degree,False,True
474,474,57,blue-collar,divorced,basic_4y,False,False
475,475,44,blue-collar,married,basic_9y,False,False
476,476,59,unknown,married,unknown,False,False
477,477,39,blue-collar,married,basic_4y,False,False
478,478,57,retired,married,university_degree,False,False
479,479,41,management,married,unknown,False,False
480,480,37,technician,single,high_school,False,False
481,481,38,services,married,high_school,False,True
482,482,42,retired,married,basic_4y,False,False
483,483,49,unknown,married,unknown,False,True
484,484,54,management,married,basic_6y,False,True
485,485,36,admin_,married,university_degree,False,False
486,486,32,admin_,single,university_degree,False,False
487,487,35,technician,married,professional_course,False,True
488,488,45,housemaid,married,professional_course,False,False
489,489,56,technician,married,unknown,False,True
490,490,34,technician,married,university_degree,False,True
491,491,41,unemployed,married,basic_9y,False,False
492,492,41,services,married,basic_9y,False,False
493,493,36,blue-collar,married,basic_9y,False,False
494,494,32,admin_,single,university_degree,False,False
495,495,31,services,married,high_school,False,False
496,496,38,technician,married,professional_course,False,True
497,497,35,admin_,divorced,university_degree,False,True
498,498,53,admin_,married,professional_course,False,True
499,499,51,admin_,married,basic_6y,False,True
500,500,56,entrepreneur,married,university_degree,False,False
501,501,33,admin_,married,basic_9y,False,False
502,502,33,admin_,married,basic_9y,False,False
503,503,51,services,divorced,high_school,False,True
504,504,39,services,married,high_school,False,True
505,505,45,entrepreneur,married,university_degree,False,False
506,506,40,technician,single,university_degree,False,False
507,507,60,unknown,single,unknown,False,True
508,508,33,technician,married,university_degree,False,True
509,509,47,blue-collar,married,high_school,False,True
510,510,48,blue-collar,married,basic_4y,False,False
511,511,43,entrepreneur,married,high_school,False,False
512,512,37,management,married,university_degree,False,True
513,513,50,services,married,basic_9y,False,True
514,514,59,entrepreneur,married,high_school,False,True
515,515,32,technician,married,unknown,False,True
516,516,42,housemaid,single,basic_4y,False,True
517,517,52,blue-collar,married,basic_4y,False,False
518,518,42,blue-collar,married,unknown,False,False
519,519,42,admin_,married,unknown,False,False
520,520,40,management,married,basic_9y,False,False
521,521,38,blue-collar,married,basic_9y,False,False
522,522,39,blue-collar,married,basic_6y,False,True
523,523,39,blue-collar,married,basic_6y,False,False
524,524,38,admin_,married,high_school,False,False
525,525,47,admin_,single,unknown,False,True
526,526,30,services,single,high_school,False,False
527,527,38,admin_,divorced,high_school,False,True
528,528,39,technician,divorced,university_degree,False,False
529,529,44,admin_,married,high_school,False,False
530,530,36,admin_,married,high_school,False,False
531,531,41,services,married,high_school,False,True
532,532,41,blue-collar,married,basic_6y,False,False
533,533,35,blue-collar,married,basic_9y,False,False
534,534,41,technician,married,high_school,False,False
535,535,36,services,married,high_school,False,False
536,536,35,admin_,single,high_school,False,True
537,537,33,blue-collar,single,basic_4y,False,False
538,538,38,admin_,single,basic_6y,False,False
539,539,33,self-employed,married,university_degree,False,False
540,540,55,self-employed,married,unknown,False,False
541,541,36,blue-collar,single,basic_9y,False,False
542,542,57,technician,married,professional_course,False,False
543,543,32,entrepreneur,single,university_degree,False,True
544,544,30,self-employed,single,high_school,False,True
545,545,43,admin_,married,professional_course,False,True
546,546,46,admin_,married,university_degree,False,False
547,547,35,admin_,divorced,high_school,False,False
548,548,34,admin_,single,university_degree,False,True
549,549,50,blue-collar,married,basic_4y,False,False
550,550,39,admin_,single,university_degree,False,False
551,551,39,blue-collar,married,basic_9y,False,False
552,552,42,entrepreneur,married,basic_6y,False,False
553,553,57,retired,married,university_degree,False,True
554,554,45,blue-collar,married,basic_4y,False,False
555,555,40,technician,married,basic_4y,False,False
556,556,42,blue-collar,married,high_school,False,False
557,557,40,technician,married,basic_4y,False,False
558,558,38,blue-collar,single,basic_4y,False,False
559,559,39,blue-collar,married,basic_6y,False,True
560,560,41,blue-collar,married,basic_4y,False,False
561,561,39,blue-collar,married,basic_6y,False,True
562,562,41,blue-collar,married,basic_4y,False,True
563,563,45,admin_,married,university_degree,False,False
564,564,35,admin_,divorced,university_degree,False,False
565,565,35,admin_,married,basic_6y,False,True
566,566,49,blue-collar,married,high_school,False,False
567,567,36,technician,married,unknown,False,False
568,568,23,admin_,single,university_degree,False,False
569,569,43,unemployed,married,university_degree,False,False
570,570,49,entrepreneur,married,professional_course,False,False
571,571,36,technician,married,professional_course,False,False
572,572,51,blue-collar,married,basic_9y,False,True
573,573,56,retired,married,basic_4y,False,True
574,574,45,housemaid,married,high_school,False,False
575,575,42,admin_,married,high_school,False,False
576,576,41,admin_,divorced,high_school,False,False
577,577,32,services,married,high_school,False,False
578,578,46,management,married,university_degree,False,False
579,579,37,blue-collar,married,unknown,False,False
580,580,53,management,married,university_degree,False,False
581,581,30,blue-collar,married,basic_4y,False,False
582,582,45,unknown,married,unknown,False,False
583,583,24,technician,single,professional_course,False,False
584,584,45,unknown,married,unknown,False,False
585,585,34,admin_,single,university_degree,False,False
586,586,41,management,married,university_degree,False,False
587,587,59,blue-collar,married,basic_4y,False,True
588,588,45,blue-collar,married,basic_4y,False,False
589,589,54,blue-collar,married,basic_6y,False,False
590,590,32,technician,married,professional_course,False,False
591,591,33,technician,married,professional_course,False,True
592,592,32,admin_,married,university_degree,False,False
593,593,34,services,single,high_school,False,False
594,594,46,management,married,university_degree,False,False
595,595,57,technician,married,professional_course,False,True
596,596,42,technician,married,basic_9y,False,False
597,597,48,admin_,married,professional_course,False,True
598,598,58,admin_,divorced,university_degree,False,True
599,599,34,services,married,high_school,False,False
600,600,32,admin_,single,university_degree,False,True
601,601,48,blue-collar,married,basic_9y,False,False
602,602,47,blue-collar,married,basic_9y,False,False
603,603,31,services,married,high_school,False,False
604,604,32,admin_,single,university_degree,False,True
605,605,32,admin_,single,university_degree,False,False
606,606,36,services,married,high_school,False,False
607,607,53,blue-collar,married,basic_4y,False,False
608,608,37,blue-collar,married,basic_9y,False,False
609,609,50,services,married,high_school,False,False
610,610,46,blue-collar,married,basic_6y,False,True
611,611,41,admin_,married,high_school,False,False
612,612,43,blue-collar,single,basic_4y,False,False
613,613,51,management,married,university_degree,False,True
614,614,38,admin_,married,university_degree,False,True
615,615,41,technician,married,basic_6y,False,True
616,616,39,services,married,high_school,False,False
617,617,52,blue-collar,married,basic_4y,False,False
618,618,37,technician,married,professional_course,False,True
619,619,41,admin_,married,basic_9y,False,True
620,620,46,admin_,divorced,university_degree,False,True
621,621,47,technician,married,professional_course,False,False
622,622,35,technician,married,professional_course,False,False
623,623,38,services,married,high_school,False,False
624,624,30,blue-collar,single,unknown,False,True
625,625,46,blue-collar,married,basic_9y,False,True
626,626,30,technician,married,professional_course,False,False
627,627,35,services,single,basic_4y,False,False
628,628,58,admin_,married,unknown,False,True
629,629,40,technician,married,professional_course,False,False
630,630,34,technician,married,university_degree,False,False
631,631,30,admin_,single,university_degree,False,False
632,632,38,services,married,basic_6y,False,False
633,633,55,management,single,basic_4y,False,False
634,634,55,management,married,university_degree,False,True
635,635,45,technician,single,professional_course,False,True
636,636,36,admin_,married,university_degree,False,True
637,637,32,admin_,single,university_degree,False,False
638,638,35,technician,married,unknown,False,True
639,639,55,management,divorced,university_degree,False,True
640,640,49,housemaid,married,basic_4y,False,False
641,641,29,admin_,married,high_school,False,True
642,642,34,blue-collar,married,basic_4y,False,True
643,643,54,retired,married,high_school,False,True
644,644,36,technician,single,professional_course,False,False
645,645,30,management,single,university_degree,False,True
646,646,33,housemaid,divorced,university_degree,False,False
647,647,37,blue-collar,married,high_school,False,False
648,648,36,technician,married,basic_9y,False,True
649,649,33,blue-collar,married,high_school,False,False
650,650,32,housemaid,married,high_school,False,True
651,651,32,housemaid,married,high_school,False,False
652,652,50,blue-collar,married,basic_4y,False,True
653,653,39,blue-collar,married,basic_9y,False,False
654,654,51,blue-collar,divorced,unknown,False,True
